Game ID,Timestamp (ms),Player,Action
"G1770783544585-550","4000","System","Ball served towards CPU"
"G1770783544585-550","4919","CPU","Hit Ball"
"G1770783544585-550","6787","Player 1","Hit Ball"
"G1770783544585-550","8653","CPU","Hit Ball"
"G1770783544585-550","10519","Player 1","Hit Ball"
"G1770783544585-550","12386","CPU","Hit Ball"
"G1770783544585-550","14252","Player 1","Hit Ball"
"G1770783544585-550","16119","CPU","Hit Ball"
"G1770783544585-550","17986","Player 1","Hit Ball"
"G1770783544585-550","19853","CPU","Hit Ball"
"G1770783544585-550","21719","Player 1","Hit Ball"
"G1770783544585-550","23586","CPU","Hit Ball"
"G1770783544585-550","25454","Player 1","Hit Ball"
"G1770783544585-550","27320","CPU","Hit Ball"
"G1770783544585-550","29187","Player 1","Hit Ball"
"G1770783544585-550","31052","CPU","Hit Ball"
"G1770783544585-550","32919","Player 1","Hit Ball"
"G1770783544585-550","34786","CPU","Hit Ball"
"G1770783544585-550","36653","Player 1","Hit Ball"
"G1770783544585-550","38519","CPU","Hit Ball"
"G1770783544585-550","40420","Player 1","Hit Ball"
"G1770783544585-550","42286","CPU","Hit Ball"
"G1770783544585-550","44153","Player 1","Hit Ball"
"G1770783544585-550","46020","CPU","Hit Ball"
"G1770783544585-550","47886","Player 1","Hit Ball"
"G1770783544585-550","49753","CPU","Hit Ball"
"G1770783544585-550","51620","Player 1","Hit Ball"
"G1770783544585-550","53486","CPU","Hit Ball"
"G1770783544585-550","55354","Player 1","Hit Ball"
"G1770783544585-550","57303","CPU","Lost Life. Remaining: 0"
"G1770783544585-550","57304","CPU","Eliminated"
