Game ID,Date,Duration (s),Winner,Ball Speed,Theme,Language,Player,Lives,Hits,CPU Difficulty
"G1770793595172-240","2026-02-11T07:07:15.642Z","40.47","CPU","20.38","dark","en","Tony","0","9","N/A"
"G1770793595172-240","2026-02-11T07:07:15.642Z","40.47","CPU","20.38","dark","en","CPU","1","10","easy"
