Game ID,Timestamp (ms),Player,Action
"G1770783517740-933","4001","System","Ball served towards 玩家 3"
"G1770783517740-933","4814","玩家 3","Hit Ball"
"G1770783517740-933","6514","玩家 4","Lost Life. Remaining: 0"
"G1770783517740-933","6514","玩家 4","Eliminated"
"G1770783517740-933","6514","System","Ball served towards 玩家 3"
"G1770783517740-933","7331","玩家 3","Hit Ball"
"G1770783517740-933","10781","玩家 3","Lost Life. Remaining: 0"
"G1770783517740-933","10781","玩家 3","Eliminated"
"G1770783517740-933","10781","System","Ball served towards 玩家 1"
"G1770783517740-933","11664","玩家 1","Hit Ball"
"G1770783517740-933","13431","Player 2","Hit Ball"
"G1770783517740-933","15197","玩家 1","Hit Ball"
"G1770783517740-933","17046","Player 2","Lost Life. Remaining: 0"
"G1770783517740-933","17046","Player 2","Eliminated"
