Game ID,Timestamp (ms),Player,Action,Details
"G1770793545832-957","4001","System","Ball served towards Player 3","{""targetPlayer"":""Player 3"",""targetPlayerId"":""p3"",""serveAngle"":""84.84""}"
"G1770793545832-957","4809","Player 3","Hit Ball","{""ballSpeed"":""6.88"",""hitPosition"":""0.57"",""rallyHits"":1}"
"G1770793545832-957","6511","Player 4","Lost Life. Remaining: 0","{""missLocation"":""bottom"",""ballSpeed"":""6.99"",""rallyHits"":1}"
"G1770793545832-957","6511","Player 4","Eliminated","{""survivalTime"":6.511}"
"G1770793545832-957","6511","System","Ball served towards Player 3","{""targetPlayer"":""Player 3"",""targetPlayerId"":""p3"",""serveAngle"":""96.54""}"
"G1770793545832-957","7343","Player 3","Hit Ball","{""ballSpeed"":""6.88"",""hitPosition"":""-0.73"",""rallyHits"":1}"
"G1770793545832-957","9677","Player 1","Lost Life. Remaining: 0","{""missLocation"":""bottom"",""ballSpeed"":""7.03"",""rallyHits"":1}"
"G1770793545832-957","9677","Player 1","Eliminated","{""survivalTime"":9.677}"
"G1770793545832-957","9677","System","Ball served towards CPU","{""targetPlayer"":""CPU"",""targetPlayerId"":""p2"",""serveAngle"":""-27.02""}"
"G1770793545832-957","10577","CPU","Hit Ball","{""ballSpeed"":""6.88"",""hitPosition"":""-0.47"",""rallyHits"":1}"
"G1770793545832-957","14177","Player 3","Hit Ball","{""ballSpeed"":""7.48"",""hitPosition"":""1.03"",""rallyHits"":2}"
"G1770793545832-957","14310","CPU","Hit Ball","{""ballSpeed"":""7.87"",""hitPosition"":""-0.22"",""rallyHits"":3}"
"G1770793545832-957","17110","CPU","Hit Ball","{""ballSpeed"":""8.49"",""hitPosition"":""0.60"",""rallyHits"":4}"
"G1770793545832-957","18777","Player 3","Hit Ball","{""ballSpeed"":""9.05"",""hitPosition"":""1.13"",""rallyHits"":5}"
"G1770793545832-957","19710","CPU","Lost Life. Remaining: 0","{""missLocation"":""bottom"",""ballSpeed"":""9.13"",""rallyHits"":5}"
"G1770793545832-957","19710","CPU","Eliminated","{""survivalTime"":19.71}"
