Game ID,Date,Duration (s),Winner,Ball Speed,Theme,Language,Player,Lives,Hits,CPU Difficulty
"G1770793545832-957","2026-02-11T07:06:05.544Z","19.71","Player 3","9.13","dark","en","Player 1","0","0","N/A"
"G1770793545832-957","2026-02-11T07:06:05.544Z","19.71","Player 3","9.13","dark","en","CPU","0","3","easy"
"G1770793545832-957","2026-02-11T07:06:05.544Z","19.71","Player 3","9.13","dark","en","Player 3","1","4","N/A"
"G1770793545832-957","2026-02-11T07:06:05.544Z","19.71","Player 3","9.13","dark","en","Player 4","0","0","N/A"
