Game ID,Date,Duration (s),Winner,Ball Speed,Theme,Language,Player,Lives,Hits
"G1770783544585-550","2026-02-11T04:20:01.889Z","57.30","Player 1","20.38","dark","en","Player 1","1","14"
"G1770783544585-550","2026-02-11T04:20:01.889Z","57.30","Player 1","20.38","dark","en","CPU","0","14"
