Game ID,Timestamp (ms),Player,Action
"G1770780227287-389","4001","System","Ball served towards 玩家 3"
"G1770780227287-389","4811","玩家 3","Hit Ball"
"G1770780227287-389","6428","玩家 4","Hit Ball"
"G1770780227287-389","8111","玩家 3","Lost Life. Remaining: 0"
"G1770780227287-389","8111","玩家 3","Eliminated"
"G1770780227287-389","8111","System","Ball served towards 玩家 1"
"G1770780227287-389","8961","玩家 1","Hit Ball"
"G1770780227287-389","10645","玩家 2","Hit Ball"
"G1770780227287-389","12328","玩家 1","Hit Ball"
"G1770780227287-389","14011","玩家 2","Hit Ball"
"G1770780227287-389","15695","玩家 1","Hit Ball"
"G1770780227287-389","17378","玩家 2","Hit Ball"
"G1770780227287-389","19062","玩家 1","Hit Ball"
"G1770780227287-389","20745","玩家 2","Hit Ball"
"G1770780227287-389","22428","玩家 1","Hit Ball"
"G1770780227287-389","24112","玩家 2","Hit Ball"
"G1770780227287-389","25795","玩家 1","Hit Ball"
"G1770780227287-389","27478","玩家 2","Hit Ball"
"G1770780227287-389","29162","玩家 1","Hit Ball"
"G1770780227287-389","30912","玩家 2","Lost Life. Remaining: 0"
"G1770780227287-389","30912","玩家 2","Eliminated"
"G1770780227287-389","30912","System","Ball served towards 玩家 1"
"G1770780227287-389","31762","玩家 1","Hit Ball"
"G1770780227287-389","33445","玩家 4","Lost Life. Remaining: 0"
"G1770780227287-389","33445","玩家 4","Eliminated"
