Game ID,Timestamp (ms),Player,Action
"G1770713913739-52","4000","System","Ball served towards CPU"
"G1770713913739-52","4805","CPU","Hit Ball"
"G1770713913739-52","6489","Player 1","Lost Life. Remaining: 0"
"G1770713913739-52","6489","Player 1","Eliminated"
"G1770713913739-52","6489","System","Ball served towards Player 3"
"G1770713913739-52","7322","Player 3","Hit Ball"
"G1770713913739-52","9004","Player 4","Lost Life. Remaining: 0"
"G1770713913739-52","9004","Player 4","Eliminated"
"G1770713913739-52","9005","System","Ball served towards Player 3"
"G1770713913739-52","9822","Player 3","Hit Ball"
"G1770713913739-52","12772","CPU","Lost Life. Remaining: 0"
"G1770713913739-52","12772","CPU","Eliminated"
