Game ID,Timestamp (ms),Player,Action
"G1770780205667-802","4000","System","Ball served towards 玩家 3"
"G1770780205667-802","4815","玩家 3","Hit Ball"
"G1770780205667-802","6498","玩家 4","Lost Life. Remaining: 0"
"G1770780205667-802","6498","玩家 4","Eliminated"
"G1770780205667-802","6498","System","Ball served towards 电脑"
"G1770780205667-802","7381","电脑","Hit Ball"
"G1770780205667-802","9131","玩家 1","Hit Ball"
"G1770780205667-802","10881","电脑","Hit Ball"
"G1770780205667-802","12098","玩家 3","Lost Life. Remaining: 0"
"G1770780205667-802","12098","玩家 3","Eliminated"
"G1770780205667-802","12098","System","Ball served towards 玩家 1"
"G1770780205667-802","13131","玩家 1","Hit Ball"
"G1770780205667-802","15298","电脑","Lost Life. Remaining: 0"
"G1770780205667-802","15298","电脑","Eliminated"
