Game ID,Timestamp (ms),Player,Action,Details
"G1770793570881-726","4001","System","Ball served towards Player 1","{""targetPlayer"":""Player 1"",""targetPlayerId"":""p1"",""serveAngle"":""-177.98""}"
"G1770793570881-726","4812","Player 1","Hit Ball","{""ballSpeed"":""6.88"",""hitPosition"":""-0.22"",""rallyHits"":1}"
"G1770793570881-726","6427","CPU","Hit Ball","{""ballSpeed"":""7.34"",""hitPosition"":""-0.10"",""rallyHits"":2}"
"G1770793570881-726","8045","Player 1","Hit Ball","{""ballSpeed"":""7.82"",""hitPosition"":""0.81"",""rallyHits"":3}"
"G1770793570881-726","9661","CPU","Hit Ball","{""ballSpeed"":""8.34"",""hitPosition"":""0.03"",""rallyHits"":4}"
"G1770793570881-726","11277","Player 1","Hit Ball","{""ballSpeed"":""8.90"",""hitPosition"":""0.33"",""rallyHits"":5}"
"G1770793570881-726","12894","CPU","Hit Ball","{""ballSpeed"":""9.49"",""hitPosition"":""0.20"",""rallyHits"":6}"
"G1770793570881-726","14510","Player 1","Hit Ball","{""ballSpeed"":""10.12"",""hitPosition"":""0.21"",""rallyHits"":7}"
"G1770793570881-726","14745","Player 3","Lost Life. Remaining: 0","{""missLocation"":""bottom"",""ballSpeed"":""10.14"",""rallyHits"":7}"
"G1770793570881-726","14745","Player 3","Eliminated","{""survivalTime"":14.745}"
"G1770793570881-726","14745","System","Ball served towards CPU","{""targetPlayer"":""CPU"",""targetPlayerId"":""p2"",""serveAngle"":""39.08""}"
"G1770793570881-726","15777","CPU","Hit Ball","{""ballSpeed"":""6.89"",""hitPosition"":""0.68"",""rallyHits"":1}"
"G1770793570881-726","17845","Player 1","Hit Ball","{""ballSpeed"":""7.38"",""hitPosition"":""-0.48"",""rallyHits"":2}"
"G1770793570881-726","20011","CPU","Lost Life. Remaining: 0","{""missLocation"":""bottom"",""ballSpeed"":""7.54"",""rallyHits"":2}"
"G1770793570881-726","20011","CPU","Eliminated","{""survivalTime"":20.011}"
